Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apl,Quantity2-Apl,Value-Apl,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2012,'000000011',  ,KG,0,2496802,617175,0,165149,45375,0,160556,46205,0,193000,49399,0,160756,47290,0,218855,50821,0,193173,50559,0,269839,59416,0,241214,61680,0,245581,48815,0,198765,55262,0,272100,62012,0,177814,40341
2,2012,'000000019',  ,KG,0,1238200,6046905,0,99640,372022,0,88580,557625,0,100205,389564,0,88797,680952,0,124719,356270,0,103361,548677,0,101776,374079,0,99181,522116,0,105180,627393,0,133597,717981,0,109395,431055,0,83769,469171
2,2012,'000000091',NO,GT,11,479886,13839856,1,52999,1812668,0,0,0,0,0,0,1,50464,2203196,1,10609,2584025,0,0,0,2,89941,1936212,0,0,0,1,15019,164029,2,150164,3585821,2,17660,234263,1,93030,1319642
2,2012,'000000099',  ,KG,0,336987681,952910429,0,28922262,71026988,0,27047180,72825097,0,47356844,78384080,0,24352204,76206888,0,27623524,80969081,0,27397937,86760259,0,25587194,82148148,0,22795553,77567942,0,23278790,82531869,0,25331817,84092594,0,25927231,81795925,0,31367145,78601558
2,2012,'010121210',  ,NO,0,77,6080311,0,22,1040775,0,2,137940,0,7,283595,0,0,0,0,16,536527,0,12,628701,0,1,5458,0,1,835465,0,0,0,0,0,0,0,4,291998,0,12,2319852
2,2012,'010121290',  ,NO,0,4,141402,0,3,41005,0,1,100397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2012,'010129100',  ,NO,0,2705,2502461,0,197,106897,0,313,376251,0,89,67733,0,118,227292,0,108,112561,0,195,140038,0,227,195836,0,158,99286,0,388,341495,0,217,219800,0,408,356323,0,287,258949
2,2012,'010129210',  ,NO,0,6,109286,0,2,98504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1520,0,3,9262,0,0,0
2,2012,'010129290',  ,NO,0,168,2448926,0,3,33803,0,3,22693,0,7,57763,0,34,460529,0,26,219665,0,29,366823,0,1,606,0,0,0,0,0,0,0,32,506639,0,26,629350,0,7,151055
2,2012,'010229100',  ,NO,0,14040,2175980,0,1724,248966,0,1929,287901,0,300,72832,0,1998,296573,0,0,0,0,1881,268031,0,0,0,0,1802,294298,0,1334,224762,0,1001,155559,0,986,153570,0,1085,173488
2,2012,'010229200',  ,NO,0,301,46825,0,63,10203,0,60,9821,0,2,485,0,61,8257,0,0,0,0,32,4634,0,0,0,0,17,2824,0,13,2036,0,10,1576,0,26,4166,0,17,2823
2,2012,'010310000',  ,NO,0,14,5298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5298,0,0,0,0,0,0,0,0,0
2,2012,'010391000',  ,NO,0,334,41224,0,0,0,0,35,4322,0,32,4195,0,16,2498,0,49,5352,0,0,0,0,68,7741,0,0,0,0,18,2401,0,39,4641,0,38,4662,0,39,5412
2,2012,'010392020',  ,NO,0,641,168096,0,36,4676,0,0,0,0,0,0,0,152,47267,0,16,5894,0,37,10849,0,126,26620,0,0,0,0,0,0,0,171,35982,0,16,6055,0,87,30753
2,2012,'010410000',  ,NO,0,22,6544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2012,'010511000',  ,NO,0,769818,826202,0,20277,16141,0,99626,60466,0,90646,102813,0,60241,63363,0,88488,140188,0,52823,25711,0,60996,68436,0,52129,26383,0,53853,43354,0,59606,99601,0,46876,44975,0,84257,134771
2,2012,'010513000',  ,NO,0,6340,11081,0,1267,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,2293,0,0,0,0,0,0,0,0,0,0,3092,5406,0,705,1215
2,2012,'010515000',  ,NO,0,14639,3478,0,0,0,0,0,0,0,0,0,0,0,0,0,3044,802,0,3538,1071,0,0,0,0,5045,867,0,0,0,0,0,0,0,3012,738,0,0,0
2,2012,'010611000',NO,KG,4558,18072,864555,0,0,0,527,1881,116916,426,1771,72325,386,1532,71296,455,1622,85890,288,1032,69006,480,2074,92097,419,1889,76983,418,1809,64682,541,2260,86642,220,584,51132,398,1618,77586
2,2012,'010612010',NO,KG,1,88,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88,1973,0,0,0,0,0,0
2,2012,'010613000',NO,KG,35,1841,7873,0,0,0,0,0,0,0,0,0,0,0,0,15,600,2632,6,480,2458,0,0,0,0,0,0,0,0,0,14,761,2783,0,0,0,0,0,0
2,2012,'010614000',NO,KG,3747,1143,7404,897,275,1297,248,71,457,126,50,393,424,108,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,128,1076,635,191,1587,886,320,1748
2,2012,'010619012',NO,KG,10632,4892,72550,950,442,5534,850,382,5544,1019,456,6476,1008,452,6470,934,457,6324,891,408,8020,654,311,4257,630,290,4303,664,332,4610,988,457,6117,1315,592,9310,729,313,5585
2,2012,'010619019',NO,KG,3380,24915,394872,233,1678,31047,346,2623,37011,344,2285,32946,372,2645,46446,528,3581,55323,277,1897,30734,376,3078,41779,238,2002,27706,171,1364,22990,122,1018,15220,261,1787,31923,112,957,21747
2,2012,'010619041',NO,KG,175709,3718,27962,18772,399,3036,5763,126,1716,15120,314,2426,18562,422,3052,15635,374,2354,13980,258,1960,19250,370,2813,7185,117,991,13815,288,2007,18681,396,2974,15244,381,2483,13702,273,2150
2,2012,'010619042',NO,KG,119,84,600,0,0,0,0,0,0,0,0,0,85,34,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,50,358,0,0,0
2,2012,'010619044',NO,KG,1328,501,8920,149,69,771,0,0,0,342,85,2021,170,61,1008,50,10,253,80,56,437,0,0,0,0,0,0,200,65,1050,100,60,568,170,70,967,67,25,1845
2,2012,'010619045',NO,KG,10666,589,23690,34,4,204,0,0,0,3643,120,6793,3300,110,5743,2301,145,5258,510,67,1778,0,0,0,0,0,0,160,18,249,160,8,225,351,75,2336,207,42,1104
