Exp or Imp,Year,HS,Unit1,Unit2,Quantity1-Year,Quantity2-Year,Value-Year,Quantity1-Jan,Quantity2-Jan,Value-Jan,Quantity1-Feb,Quantity2-Feb,Value-Feb,Quantity1-Mar,Quantity2-Mar,Value-Mar,Quantity1-Apr,Quantity2-Apr,Value-Apr,Quantity1-May,Quantity2-May,Value-May,Quantity1-Jun,Quantity2-Jun,Value-Jun,Quantity1-Jul,Quantity2-Jul,Value-Jul,Quantity1-Aug,Quantity2-Aug,Value-Aug,Quantity1-Sep,Quantity2-Sep,Value-Sep,Quantity1-Oct,Quantity2-Oct,Value-Oct,Quantity1-Nov,Quantity2-Nov,Value-Nov,Quantity1-Dec,Quantity2-Dec,Value-Dec
2,2019,'000000011',  ,KG,0,2542026,668785,0,209413,51890,0,219066,54379,0,187214,57916,0,197215,57311,0,238553,51389,0,219348,46450,0,206338,43374,0,207300,60617,0,230815,83615,0,194388,50377,0,227759,60441,0,204617,51026
2,2019,'000000019',  ,KG,0,1371506,5924440,0,113223,388799,0,114681,661926,0,102443,591609,0,123293,750635,0,128004,323996,0,101633,381127,0,99162,335657,0,129232,658168,0,99416,341958,0,122544,598678,0,128589,406398,0,109286,485489
2,2019,'000000091',NO,GT,4,115543,6375659,0,0,0,2,63811,5003579,1,2557,172080,0,0,0,0,0,0,1,49175,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,'000000099',  ,KG,0,798345684,1281823419,0,117949247,100948013,0,157532104,102695263,0,72705144,129060315,0,14177143,92129843,0,17136120,84351435,0,14746450,103263539,0,19684756,101618942,0,15548402,98766727,0,25433262,113756368,0,50297752,111775122,0,144024830,112423489,0,149110474,131034363
2,2019,'010121100',  ,NO,0,5,14182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4083,0,0,0,0,4,10099,0,0,0
2,2019,'010121210',  ,NO,0,81,6086063,0,19,1291260,0,0,0,0,11,674497,0,8,332642,0,14,770893,0,0,0,0,2,81796,0,0,0,0,0,0,0,4,687088,0,2,154152,0,21,2093735
2,2019,'010121290',  ,NO,0,35,1887597,0,0,0,0,23,1053227,0,2,182727,0,1,48484,0,0,0,0,0,0,0,0,0,0,0,0,0,2,54546,0,0,0,0,7,548613,0,0,0
2,2019,'010129100',  ,NO,0,4419,5635332,0,216,241366,0,332,477829,0,480,712156,0,422,524683,0,234,308400,0,331,417364,0,560,608181,0,135,141927,0,577,691449,0,322,416424,0,362,511912,0,448,583641
2,2019,'010129210',  ,NO,0,3,6797,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4862
2,2019,'010129290',  ,NO,0,198,4482574,0,5,42312,0,3,10552,0,10,157336,0,33,654472,0,17,393144,0,19,372603,0,3,56482,0,30,415469,0,5,316218,0,38,1341197,0,19,343741,0,16,379048
2,2019,'010229100',  ,NO,0,16649,4177236,0,1692,439170,0,1284,325620,0,0,0,0,2018,555183,0,1952,544488,0,1368,328053,0,225,78306,0,1764,436090,0,1734,402369,0,1739,412359,0,1431,324606,0,1442,330992
2,2019,'010229200',  ,NO,0,1099,391780,0,52,13047,0,82,26249,0,368,194895,0,93,26851,0,73,21297,0,71,16850,0,38,13225,0,52,11998,0,65,14636,0,80,22857,0,68,14879,0,57,14996
2,2019,'010310000',  ,NO,0,13,5354,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,'010391000',  ,NO,0,38,3243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,3243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,'010392020',  ,NO,0,446,157434,0,41,17846,0,0,0,0,0,0,0,120,39581,0,4,2047,0,50,22335,0,41,18202,0,0,0,0,15,10361,0,50,6472,0,85,36573,0,40,4017
2,2019,'010410000',  ,NO,0,30,10224,0,0,0,0,30,10224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,'010420000',  ,NO,0,16,6018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,'010511000',  ,NO,0,467051,913810,0,15478,57985,0,14489,11029,0,43406,52657,0,38940,116670,0,3806,5276,0,66677,152302,0,45021,113066,0,36002,35907,0,55388,86944,0,36709,22539,0,41616,112654,0,69519,146781
2,2019,'010513000',  ,NO,0,6164,11702,0,0,0,0,1271,2447,0,0,0,0,0,0,0,0,0,0,0,0,0,2353,4644,0,0,0,0,0,0,0,0,0,0,2540,4611,0,0,0
2,2019,'010599000',  ,NO,0,96,451,0,0,0,0,0,0,0,0,0,0,96,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2019,'010611000',NO,KG,4885,14466,1313448,0,0,0,767,2350,208249,0,0,0,168,606,45181,1088,3273,290362,0,0,0,458,1363,142843,116,430,28891,240,590,85676,1328,3935,352288,0,0,0,720,1919,159958
2,2019,'010612090',NO,KG,3,101,5056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58,3056,0,0,0,0,0,0,0,0,0,2,43,2000,0,0,0,0,0,0
2,2019,'010613000',NO,KG,5,1750,15276,0,0,0,3,1000,7674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,750,7602
2,2019,'010614000',NO,KG,2281,3697,9096,1163,2880,4024,155,189,802,207,143,935,241,150,875,0,0,0,0,0,0,0,0,0,0,0,0,68,60,364,183,172,1225,161,83,580,103,20,291
