"...1","第一単位","第一数量","第二単位","第二数量","金額（千円）","year"
"平.元(1989)",NA,0,"KG",50175410,15169177,1989
"平.2(1990)",NA,0,"KG",58880344,16180512,1990
"平.3(1991)",NA,0,"KG",42651397,11522682,1991
"平.4(1992)",NA,0,"KG",52265054,12160136,1992
"平.5(1993)",NA,0,"KG",47058123,9644546,1993
"平.6(1994)",NA,0,"KG",45511708,9386006,1994
"平.7(1995)",NA,0,"KG",42482648,7976915,1995
"平.8(1996)",NA,0,"KG",46698629,10042172,1996
"平.9(1997)",NA,0,"KG",40222560,9537887,1997
"平.10(1998)",NA,0,"KG",42536727,10459462,1998
"平.11(1999)",NA,0,"KG",41248647,9990171,1999
"平.12(2000)",NA,0,"KG",41531009,12281186,2000
"平.13(2001)",NA,0,"KG",39564199,9326738,2001
"平.14(2002)",NA,0,"KG",48310573,13229979,2002
"平.15(2003)",NA,0,"KG",49712177,13973516,2003
"平.16(2004)",NA,0,"KG",61955236,17841349,2004
"平.17(2005)",NA,0,"KG",59434882,17089109,2005
