"COMODITY","UNIT2_month","QUANTITY2_month","VALUE_month","QUANTITY2","VALUE","year"
"0810.50‑000","KG",1718467,358102,42536727,10459462,1998
"0810.50‑000","KG",1063939,221336,41248647,9990171,1999
"0810.50‑000","KG",2457491,747720,41531009,12281186,2000
"0810.50‑000","KG",2038106,120907,39564199,9326738,2001
"0810.50‑000","KG",89100,18122,48310573,13229979,2002
"0810.50‑000","KG",34094,5661,49712177,13973516,2003
"0810.50‑000","KG",744699,167033,61955236,17841349,2004
"0810.50‑000","KG",5551,1787,59434882,17089109,2005
"0810.50‑000","KG",38644,8692,54479039,16876048,2006
"0810.50‑000","KG",30866,7383,59618113,18990746,2007
"0810.50‑000","KG",28738,7176,59221620,19420275,2008
