"year","quantity2","value"
1989,50175410,15169177
1990,58880344,16180512
1991,42651397,11522682
1992,52265054,12160136
1993,47058123,9644546
1994,45511708,9386006
1995,42482648,7976915
1996,46698629,10042172
1997,40222560,9537887
1998,42536727,10459462
1999,41248647,9990171
2000,41531009,12281186
2001,39564199,9326738
2002,48310573,13229979
2003,49712177,13973516
2004,61955236,17841349
2005,59434882,17089109
2006,54479039,16876048
2007,59618113,18990746
2008,59221620,19420275
2009,58500529,19668266
2010,62962844,21045802
2011,65894753,21045528
2012,63970012,21899763
2013,58747147,20460112
2014,65061181,22211493
2015,78647999,27225017
2016,93191986,31182422
2017,92981379,34940112
2018,106082208,40951792
2019,106499892,44761720
2020,113432084,48967760
2021,118221226,50376983
2022,112267372,50153804
2023,96221603,46638135
2024,115529294,59546125
