"cat01_code","統計品目表(輸入)","cat02_code","統計品目表の数量・金額","area_code","国","time_code","時間軸(年次)","unit","value","annotation"
"081090010","081090010","110","単位2","50304","304_アメリカ合衆国","1990000000","1990年",NA,NA,NA
"081090010","081090010","110","単位2","50304","304_アメリカ合衆国","1989000000","1989年",NA,NA,NA
"081090010","081090010","110","単位2","50304","304_アメリカ合衆国","1988000000","1988年",NA,NA,NA
"081090010","081090010","110","単位2","50606","606_ニュージーランド","1990000000","1990年",NA,NA,NA
"081090010","081090010","110","単位2","50606","606_ニュージーランド","1989000000","1989年",NA,NA,NA
"081090010","081090010","110","単位2","50606","606_ニュージーランド","1988000000","1988年",NA,NA,NA
"081090010","081090010","120","合計_数量1","50304","304_アメリカ合衆国","1990000000","1990年",NA,0,NA
"081090010","081090010","120","合計_数量1","50304","304_アメリカ合衆国","1989000000","1989年",NA,0,NA
"081090010","081090010","120","合計_数量1","50304","304_アメリカ合衆国","1988000000","1988年",NA,0,NA
"081090010","081090010","120","合計_数量1","50606","606_ニュージーランド","1990000000","1990年",NA,0,NA
"081090010","081090010","120","合計_数量1","50606","606_ニュージーランド","1989000000","1989年",NA,0,NA
"081090010","081090010","120","合計_数量1","50606","606_ニュージーランド","1988000000","1988年",NA,0,NA
"081090010","081090010","130","合計_数量2","50304","304_アメリカ合衆国","1990000000","1990年",NA,384336,NA
"081090010","081090010","130","合計_数量2","50304","304_アメリカ合衆国","1989000000","1989年",NA,515875,NA
"081090010","081090010","130","合計_数量2","50304","304_アメリカ合衆国","1988000000","1988年",NA,3484215,NA
"081090010","081090010","130","合計_数量2","50606","606_ニュージーランド","1990000000","1990年",NA,58496008,NA
"081090010","081090010","130","合計_数量2","50606","606_ニュージーランド","1989000000","1989年",NA,49659535,NA
"081090010","081090010","130","合計_数量2","50606","606_ニュージーランド","1988000000","1988年",NA,53652353,NA
"081090010","081090010","140","合計_金額","50304","304_アメリカ合衆国","1990000000","1990年","千円",128598,NA
"081090010","081090010","140","合計_金額","50304","304_アメリカ合衆国","1989000000","1989年","千円",179876,NA
"081090010","081090010","140","合計_金額","50304","304_アメリカ合衆国","1988000000","1988年","千円",1094876,NA
"081090010","081090010","140","合計_金額","50606","606_ニュージーランド","1990000000","1990年","千円",16051914,NA
"081090010","081090010","140","合計_金額","50606","606_ニュージーランド","1989000000","1989年","千円",14989301,NA
"081090010","081090010","140","合計_金額","50606","606_ニュージーランド","1988000000","1988年","千円",14351119,NA
"081090010","081090010","150","1月_数量1","50304","304_アメリカ合衆国","1990000000","1990年",NA,0,NA
"081090010","081090010","150","1月_数量1","50304","304_アメリカ合衆国","1989000000","1989年",NA,0,NA
"081090010","081090010","150","1月_数量1","50304","304_アメリカ合衆国","1988000000","1988年",NA,0,NA
"081090010","081090010","150","1月_数量1","50606","606_ニュージーランド","1990000000","1990年",NA,0,NA
"081090010","081090010","150","1月_数量1","50606","606_ニュージーランド","1989000000","1989年",NA,0,NA
"081090010","081090010","150","1月_数量1","50606","606_ニュージーランド","1988000000","1988年",NA,0,NA
"081090010","081090010","160","1月_数量2","50304","304_アメリカ合衆国","1990000000","1990年",NA,0,NA
"081090010","081090010","160","1月_数量2","50304","304_アメリカ合衆国","1989000000","1989年",NA,64802,NA
"081090010","081090010","160","1月_数量2","50304","304_アメリカ合衆国","1988000000","1988年",NA,703877,NA
"081090010","081090010","160","1月_数量2","50606","606_ニュージーランド","1990000000","1990年",NA,1602969,NA
"081090010","081090010","160","1月_数量2","50606","606_ニュージーランド","1989000000","1989年",NA,0,NA
"081090010","081090010","160","1月_数量2","50606","606_ニュージーランド","1988000000","1988年",NA,0,NA
"081090010","081090010","170","1月_金額","50304","304_アメリカ合衆国","1990000000","1990年","千円",0,NA
"081090010","081090010","170","1月_金額","50304","304_アメリカ合衆国","1989000000","1989年","千円",23465,NA
"081090010","081090010","170","1月_金額","50304","304_アメリカ合衆国","1988000000","1988年","千円",210843,NA
"081090010","081090010","170","1月_金額","50606","606_ニュージーランド","1990000000","1990年","千円",390372,NA
